job_id,company_name,job_title,minimum_salary,maximum_salary,job_address,job_description,company_website,for_more_info
4695215,Target Consulting Group,"Менеджер по продажам услуг СТО (В2В, Свя...",no_info,no_info,Киев,"Описание вакансииСтанция технического обслуживания автомобилей, котора...",no_info,https://www.work.ua/ru/jobs/4695215/
4638134,Arce,Project manager,no_info,30000,Киев,ARCE is an international company that provides high-tech services sinc...,http://www.arce.com.ua,https://www.work.ua/ru/jobs/4638134/
3994162,"Домінос Піца Юкрейн, ТОВ","Кур'єр (авто, мото, вело, Голосіївський ...",no_info,no_info,Киев,У зв’язку з розширенням мережі Domino’s Pizza в м. Київ запрошуємо на ...,http://dominos.ua,https://www.work.ua/ru/jobs/3994162/
4671587,"Пульс, сімейна клініка",Системний адміністратор,no_info,no_info,"Киев, вулиця Івана Крамського, 9.",ТОВ «Олімп» запрошує на роботу Старшого системного адміністратораМісце...,http://puls.ua,https://www.work.ua/ru/jobs/4671587/
3781977,Bolt,"Водитель в такси на авто компании (Bolt,...",20000,25000,"Харьков, вулиця Академіка Павлова, 271.","Предлагаем работу в компании Bolt, на новых автомобилях SKODA SKALA 20...",http://bolt-ua.com,https://www.work.ua/ru/jobs/3781977/
4695192,CitySites,Sales manager,no_info,25000,Кривой Рог,Городские сайты компании CitySites занимают лидирующие позиции в каждо...,http://citysites.ua,https://www.work.ua/ru/jobs/4695192/
4695191,YourQuery S.R.O.,Специалист по продажам (горячие заявки),38000,80000,Львов,"Привет, восходящая звезда продаж!Давай знакомиться:Мы Digital агентств...",http://yourquery.ua/,https://www.work.ua/ru/jobs/4695191/
4695189,Premium Staff,Аккаунт-менеджер (Amazon),12000,16000,Одесса,Наша компания занимается продажей товаров на международной площадке Am...,no_info,https://www.work.ua/ru/jobs/4695189/
4668122,"Sportmaster, мережа спортивних супермаркетів","Комірник (ТЦ ""Проспект"")",no_info,no_info,"Киев, вулиця Гната Хоткевича, 1В.",Компанія SPORTMASTER — лідер на українському ринку товарів для спорту ...,http://sportmaster.ua,https://www.work.ua/ru/jobs/4668122/
3632729,"Брокард-Украина, ООО",Торговый представитель,20000,25000,Киев,В связи с развитием бизнеса приглашаем на работу торгового представите...,http://www.brocard.ua,https://www.work.ua/ru/jobs/3632729/
4695174,Баумит Украина,Главный инженер,24000,30000,Бровары,Требования: Электро-техническое образованиеУсловия работы: Ненормирова...,http://www.baumit.ua,https://www.work.ua/ru/jobs/4695174/
4621918,Євровікнобуд,Офіс-менеджер,20000,22000,"Киев, вулиця Верхньогірська, 7.","Запрошуємо до нашої команди молоду, впевнену в собі, позитивну дівчину...",http://www.evb.ua,https://www.work.ua/ru/jobs/4621918/
3240596,"Aquatech Group, автомойка",Администратор автомойки,17000,20000,"Киев, вулиця Набережно-Хрещатицька, 10.",На туннельную мойку в центре Киева требуется администратор Телефон для...,no_info,https://www.work.ua/ru/jobs/3240596/
4695166,"Капітал, мережа ломбардів","Ведущий программист 1С, Team Lead",no_info,no_info,"Запорожье, вулиця Леоніда Жаботинського, 40.","Всеукраинская сеть ломбардов «Капитал», в связи с развитием Компании, ...",http://lombard-capital.com.ua/,https://www.work.ua/ru/jobs/4695166/
4695152,SD Consulting,Sales Manager (IT),25000,40000,Киев,Какие задачи мы помогаем решать нашим клиентам Избавиться от самих при...,http://softwaredconsulting.com,https://www.work.ua/ru/jobs/4695152/
4695151,SD Consulting,Sales Manager (IT),25000,40000,Харьков,Какие задачи мы помогаем решать нашим клиентам Избавиться от самих при...,http://softwaredconsulting.com,https://www.work.ua/ru/jobs/4695151/
4464589,ПроМотор,Верстатник спеціальних металообробних ве...,no_info,no_info,"Кривой Рог, вулиця Фабрична, 3\6.",Компанія ПроМотор (мережа регіональних цехів з механічної обробки дета...,http://www.vms.kiev.ua,https://www.work.ua/ru/jobs/4464589/
3578150,SupportYourApp,Customer Support Consultant,no_info,no_info,Киев,"Interested in Software, Hardware and SaaS products?Join our SupportYou...",http://supportyourapp.com,https://www.work.ua/ru/jobs/3578150/
3699705,Bahamamama.com.ua,"Домробітниця, клінер",15000,22000,Киев,Онлайн-сервіс BahamaMama — платформа для пошуку замовників послуг приб...,http://bahamamama.com.ua,https://www.work.ua/ru/jobs/3699705/
4493061,"Индустрия, группа компаний",Кладовщик,no_info,no_info,"Киев, Велика Окружна дорога, 4.",Требования:Мужчина 20−40 лет;Отсутствие противопоказаний для поднятия ...,no_info,https://www.work.ua/ru/jobs/4493061/
4544565,"Айстра Стронг, ООО",Менеджер з адміністративної діяльності (...,no_info,20000,Киев,Клінінгова компанія запрошує молодого енергійного менеджера на заміщен...,no_info,https://www.work.ua/ru/jobs/4544565/
4695122,Perla Helsa,"Менеджер по закупкам, СТМ (Private Label...",15000,30000,"Киев, вулиця Джона Маккейна, 3А.","Привет! Мы, Perla Helsa, — digital-бренд классных, полезных и 100% без...",http://perlahelsa.ua,https://www.work.ua/ru/jobs/4695122/
4345705,Maxi Group Kharkiv,Менеджер по работе с клиентами (call-цен...,no_info,20000,"Харьков, просп. Людвіга Свободи, 48.",В международной компании открыта вакансия «Менеджер по работе с клиент...,http://maxigroups.com.ua/,https://www.work.ua/ru/jobs/4345705/
4695107,Делта Спорт,Продавец-консультант в магазин Nike (ТРЦ...,no_info,no_info,"Киев, Дніпровська набережна, 12.","Компания «Делта Спорт» (эксклюзивный дистрибьютор Nike, Converse) объя...",http://www.deltasport.ua,https://www.work.ua/ru/jobs/4695107/
4695099,Такси 571,Водитель на своем эвакуаторе,no_info,25000,"Киев, вулиця Попудренка, 52.",Запрошуємо на роботу Водіїв для роботи на своєму евакуаторіМи пропонує...,http://571.com.ua,https://www.work.ua/ru/jobs/4695099/
4695093,Київлінза,Пакувальник,no_info,14000,"Киев, вулиця Героїв Дніпра, 35.",Оптична мережа «Київлінза» запрошує до себе в команду на повний робочи...,http://kyivlinza.ua,https://www.work.ua/ru/jobs/4695093/
3100454,Такси 571 Партнеры,Водитель на авто компании,18000,25000,Киев,"Компания предоставляет комфортные автомобили, Renault Fluence,Hyundai ...",no_info,https://www.work.ua/ru/jobs/3100454/
4695075,Броварской завод полиэтиленовых изделий,Разнорабочий,15000,25000,Бровары,"Условия работы: посменный график работы,гарантия достойного уровня опл...",no_info,https://www.work.ua/ru/jobs/4695075/
4042013,ElAvto,Механик автотранспорта,no_info,35000,Киев,Требования: Компания Елавто приглашает специалиста механика в автосерв...,http://elavto.com.ua/,https://www.work.ua/ru/jobs/4042013/
4472302,"Ветропак, Гостомельский стеклозавод",Машиніст пакувальної машини (з навчанням...,10400,13000,Буча,Група Компаній Vetropack — один із провідних європейських виробників с...,http://www.vetropack.ua/uk/,https://www.work.ua/ru/jobs/4472302/
3793638,"Осмо-С, ТОВ",Инженер-монтажник систем фильтрации воды,20000,35000,"Киев, проспект Визволителів, 5.",Требования:Муж. От 25 до 45.Опыт работы в этом направлении;Наличие соб...,no_info,https://www.work.ua/ru/jobs/3793638/
3545110,Cмаколики,Пекарь-кондитер,10000,14000,"Ивано-Франковск, вулиця Гната Хоткевича.",Торгівельна компанія «Смаколик» яка займається виробництвом кондитерсь...,no_info,https://www.work.ua/ru/jobs/3545110/
3765281,Київстар,Оператор Contact Сenter з обслуговування...,no_info,11500,Черкассы,Чому наша команда Contact Center найкраща? Читай нижче або переходь за...,http://www.kyivstar.ua,https://www.work.ua/ru/jobs/3765281/
1868904,"МС-транс, транспортная компания",Водитель-международник кат. СЕ (стеклово...,no_info,no_info,"Вишневое, вулиця Київська.",Требуется ответственный водитель-международник на спец.транспорт для п...,no_info,https://www.work.ua/ru/jobs/1868904/
4497697,Winboss,"Касир залу ігрових автоматів (казино, сл...",no_info,15000,Одесса,Міжнародна група компаній WINBOSS у зв’язку з відкриттям залів гральни...,no_info,https://www.work.ua/ru/jobs/4497697/
4695019,"Овен, производственная компания",Инженер-программист (Embedded),22000,30000,"Харьков, вулиця Гвардійців-Широнінців, 3а.",Обязанности:Разработка программного обеспечения встроенных систем;Осно...,http://www.owen.ua,https://www.work.ua/ru/jobs/4695019/
4664083,Ready Bussines Solutions LLC,"Менеджер по опросам (English, Espanol)",12000,18000,"Одесса, вулиця Космонавтів, 32.",Требования:Свободное владение одного из выше перечисленных языков (upp...,no_info,https://www.work.ua/ru/jobs/4664083/
3975667,"К2000, ТОВ",Кредитный аналитик,no_info,20000,"Киев, вулиця Саперно-Слобідська, 22.","Мы уверены, что наш проект FinStrem способен улучшить финансовый рынок...",http://www.finstream.ua,https://www.work.ua/ru/jobs/3975667/
4692417,The WhyKingz,Маркетинг-менеджер со знанием корейского,no_info,no_info,"Киев, Спортивна площа, 1А.","Привет!Мы IT компания The WhyKingz, которая заботится о своих сотрудни...",http://whykingz.com/uk/,https://www.work.ua/ru/jobs/4692417/
2512773,Альянс Будівельників України,"Маркетолог, директор отдела",30000,50000,"Киев, вулиця Набережно-Хрещатицька, 11.",ООО «АЛЬЯНС СТРОИТЕЛЕЙ УКРАИНЫ» в связи с активным развитием приглашае...,http://www.aby.kiev.ua,https://www.work.ua/ru/jobs/2512773/
4694286,"Укрекопродукт, ТОВ",Бухгалтер,15000,16000,"Киев, Відрадний проспект, 36.",В торговую фирму требуется бухгалтер без ограничений по возрасту со зн...,http://1kanat.com.ua,https://www.work.ua/ru/jobs/4694286/
4694982,Urban Planet,"Продавець-консультант (ТРЦ ""Райоn"", р-н ...",13000,17000,"Киев, вулиця Миколи Лаврухіна, 4.",Urban Planet Streetwear популярний український бренд із власним виробн...,http://urbanplanet-streetwear.com/,https://www.work.ua/ru/jobs/4694982/
4620563,Телеконтакт (Житомир),Спеціаліст по роботі з клієнтами,no_info,11500,"Житомир, вулиця Вітрука, 9.",Міжнародна компанія Телеконтакт — один із найбільших аутсорсингових ко...,http://www.telecontact.ua,https://www.work.ua/ru/jobs/4620563/
4536243,Top.Sell IT,Бухгалтер,20000,30000,"Киев, бульвар Дружби Народів.","Sell it — консалтинговая компания, занимающаяся построением и системат...",no_info,https://www.work.ua/ru/jobs/4536243/
4503947,Top.Sell IT,Account Manager with English language,20000,50000,"Киев, бульвар Дружби Народів.",Partner-company is looking for Sales Managers! NOT forex! NOT cold cal...,no_info,https://www.work.ua/ru/jobs/4503947/
3945620,Oiler,Оператор call-центра,15000,25000,"Киев, вулиця Нагірна, 47.",Компания «Oiler» ищет результативного оператора call-центра! Так кто м...,http://oiler.ua/vacancies/,https://www.work.ua/ru/jobs/3945620/
